laboratory_name,ceil_height,surface_area,additional_evac,additional_equipment_max,additional_equipment_min,num_hoods_a,hood_model_a,num_hoods_b,hood_model_b,day_occupancy_rate,night_occupancy_rate,weekend_day_occupancy_rate,weekend_night_occupancy_rate,avg_sash_height,fumehood_occupancy_rate,notes,day_occupied_ach,day_unoccupied_ach,night_occupied_ach,night_unoccupied_ach,ach_day_start,ach_night_start,cost_cfm,day_occupancy_start,night_occupancy_start,weekend_day_occupancy_start,weekend_night_occupancy_start
OM-1,10,4915,-560,0,0,15,otto-36,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-100,10,4650,-560,0,0,15,otto-32.5,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-120,10,3100,-830,0,0,12,otto-38,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-200,10,1423,-150,0,0,6,otto-50,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-230,10,2719,-1342,0,0,19,otto-38-b,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-240,10,3143,-1576,0,0,14,otto-38.5,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-301,10,3152,-1171,0,0,7,otto-38-c,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-330,10,1700,-1198,0,0,12,otto-36,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-430,10,2333,-1470,0,0,14,otto-38-c,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
OM-440,10,3400,-1230,0,0,8,otto-38-d,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
dummy,10,0,0,0,0,0,,,,0.8,0.2,0.8,0.2,,,,,,,,,,,,,,
