hood_id,bac,laboratory,hood_model
hood-001,139231,PK-2260,VAV-48-770-175
hood-002,22360,PK-2270,VAV-48-770-175
hood-003,22387,PK-2375,VAV-48-770-175
hood-004,22291,PK-2660,VAV-48-770-175
hood-005,139253,PK-2759,VAV-48-770-175
hood-006,139285,PK-2759,VAV-48-770-175
hood-007,139230,PK-2759,VAV-48-770-175
hood-008,22374,PK-2759,VAV-48-770-175
hood-009,22286,PK-2785,VAV-48-770-175
hood-010,22367,PK-3270,VAV-48-770-175
hood-011,22331,PK-3270,VAV-48-770-175
hood-012,22351,PK-5270,VAV-48-770-175
hood-013,139268,PK-5270,VAV-96-1540-350
hood-014,22359,PK-5365,VAV-48-770-175
hood-015,22361,PK-5370,VAV-48-770-175
hood-016,139222,PK-5465,VAV-48-770-175
hood-017,139026,PK-5670,VAV-48-770-175
hood-018,139050,PK-5670,VAV-48-770-175
hood-019,139053,PK-5780,VAV-48-770-175
hood-020,22347,PK-5791,VAV-48-770-175
hood-021,22373,PK-5791,VAV-120-1994-460
hood-022,22281,PK-5875,VAV-48-770-175
hood-023,22352,PK-6280,VAV-48-770-175
hood-024,139019,PK-6355,VAV-72-1155-263
hood-025,139233,PK-6355,VAV-72-1155-263
hood-026,139058,PK-6355,VAV-72-1155-263
hood-027,139279,PK-6355,VAV-72-1155-263
hood-028,139061,PK-6360,VAV-72-1155-263
hood-029,139449,PK-6365,VAV-48-770-175
hood-030,22357,PK-6375,VAV-48-770-175
hood-031,139451,PK-6465,VAV-48-770-175
hood-032,139031,PK-6660,VAV-72-1155-263
hood-033,139016,PK-6660,VAV-72-1155-263
hood-034,22379,PK-6670,VAV-60-1012-230
hood-035,139443,PK-6670,VAV-60-1012-230
hood-036,139028,PK-6670,VAV-60-1012-230
hood-037,139060,PK-6767,VAV-60-1012-230
hood-038,139048,PK-6781,VAV-48-770-175
hood-039,139062,PK-6781,VAV-48-770-175
hood-040,22362,PK-6865,VAV-48-770-175
hood-041,139434,PK-7270,VAV-48-770-175
hood-042,139059,PK-7360,VAV-48-770-175
hood-043,139063,PK-7365,VAV-48-770-175
hood-044,139282,PK-7365,VAV-48-770-175
hood-045,139283,PK-7375,VAV-48-770-175
hood-046,22384,PK-7375,VAV-48-770-175
hood-047,139051,PK-7380,VAV-48-770-175
hood-048,139049,PK-7390,VAV-48-770-175
hood-049,139015,PK-7390,VAV-48-770-175
hood-050,139048,PK-7670,VAV-48-770-175
hood-051,139062,PK-7670,VAV-48-770-175
hood-052,22362,PK-7670,VAV-48-770-175
hood-053,139434,PK-7670,VAV-48-770-175
hood-054,139059,PK-7680,VAV-48-770-175
hood-055,139063,PK-7690,VAV-60-1012-230
hood-056,139282,PK-7875-7465,VAV-48-770-175
hood-057,139019,PK-7875-7465,VAV-48-770-175
hood-058,139233,PK-7875-7465,VAV-48-770-175
hood-059,139058,PK-7875-7465,VAV-48-770-175
hood-060,139279,PK-7875-7465,VAV-120-1994-460
hood-061,139061,PK-7875-7465,VAV-120-1994-460
hood-062,139449,PK-7875-7465,VAV-120-1994-460
hood-063,22357,PK-7875-7465,VAV-120-1994-460
