laboratory,model,sash_width,max_cfm,min_cfm,face_vel_occupied,face_vel_unoccupied,depth,max_sash_height
PK-2260,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2270,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2375,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2660,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2759,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2759,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2759,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2759,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2759,VAV-48-770-175,48,770,175,100,100,NA,28
PK-2875,VAV-48-770-175,48,770,175,100,100,NA,28
PK-3270,not in evac,,,,100,100,NA,28
PK-3270,not in evac,,,,100,100,NA,28
PK-5270,not in evac,,,,100,100,NA,28
PK-5270,not in evac,,,,100,100,NA,28
PK-5365,VAV-48-770-175,48,770,175,100,100,NA,28
PK-5370,VAV-48-770-175,48,770,175,100,100,NA,28
PK-5465,VAV-48-770-175,48,770,175,100,100,NA,28
PK-5670,not in evac,,,,100,100,NA,28
PK-5670,not in evac,,,,100,100,NA,28
PK-5780,VAV-48-770-175,48,770,175,100,100,NA,28
PK-5791,VAV-48-770-175,48,770,175,100,100,NA,28
PK-5791,VAV-120-770-175,120,770,175,100,100,NA,28
PK-5875,VAV-48-770-175,48,770,175,100,100,NA,28
